description,priority,parity
"We are experiencing a massive spike in 504 Gateway Timeout errors from our Nginx reverse proxy, specifically affecting the /api/v2/forex-rates endpoint. I suspect the upstream Apache Tomcat workers are exhausted because a recent memory leak in the currency conversion service is causing requests to hang indefinitely. The Nginx error log confirms this with upstream timed out (110: Connection timed out) while reading response header from upstream. This is directly preventing our mobile app users from viewing live exchange rates, leading to a sharp drop in trading volume and potential revenue loss. I need infrastructure to temporarily increase the worker_connections limit while we roll out the hotfix.",high,
"I am unable to push any new code to the payment-processor repository because our GitLab CI runners are consistently failing with fatal: could not read Username for 'https://gitlab.internal': No such device or address. This started after the network team migrated our on-premise runners to a new VLAN, and it appears the DNS resolution for the internal GitLab instance is broken. Since we are in the middle of the Q3 release sprint, blocking the CI/CD pipeline will delay our critical patch for the recent fraud detection logic. Please check the DNS A records and ensure the runners can resolve gitlab.internal correctly.",medium,
"We accidentally deleted the production environment variables for the Stripe webhook integration, which means all customer payment confirmations are currently failing. I realized the Terraform state was corrupted during the last manual override, causing aws_cloudwatch_event_rule resources to be dropped. The error ResourceNotFoundException: Rule does not exist is flooding our Lambda logs, and we are missing over 2,000 successful charge events per hour. This poses a severe risk of revenue leakage and customer dissatisfaction. I urgently need the platform engineering team to restore the CloudWatch rules from our backup bucket so we can reprocess the missed payments immediately.",high,
"I have noticed that our Consul service mesh is incorrectly routing 40% of the internal traffic to the legacy billing service instead of the new v2 instance. This is causing intermittent HTTP 400 Bad Request responses because the old service does not understand the new JSON payload format. The Consul health checks are passing, but the service tags are misconfigured in the consul-template file, leading to this split-brain routing scenario. We risk processing invoices with incorrect tax calculations, which could trigger an IRS audit. I need the mesh team to validate the Consul KV store and correct the service discovery weights for the billing cluster.",medium,
"Our CircleCI pipeline for the mobile banking app is completely stalled because the macOS build agents are running out of disk space. The xcodebuild step fails with error: Could not create directory '/var/folders/...': No space left on device. This happens because the cleanup script is not purging the DerivedData folder after each run. With the App Store submission deadline approaching in 48 hours, any delay will push our security update release to next week, leaving users vulnerable. Please increase the EBS volume size on the macOS fleet and update the post-job cleanup script to automatically delete build artifacts.",high,
"I am seeing a concerning increase in OutOfMemoryError: Java heap space exceptions from our core ledger microservice deployed in commit 8f3a9c2. The heap dumps indicate that the new batch reconciliation job is loading the entire customer transaction history into memory instead of using a cursor. This is causing the pods to crash every 15 minutes under normal load, which disrupts our real-time balance updates for over 50,000 active users. We are facing potential class-action lawsuits if users cannot access their funds. I need the JVM tuning experts to help us configure the -Xmx limits properly and refactor the batch processor to stream data in chunks.",high,
"We are currently experiencing a severe replication lag of over 45 minutes between the MySQL primary and the read replica used for our reporting dashboards. The replication thread is stuck because a rogue ALTER TABLE command was executed directly on the production database without our approval. The Seconds_Behind_Master metric is critically high, meaning the finance team is looking at stale data for their daily risk exposure reports. I need the DBA team to kill the blocking process and restart the slave threads immediately to prevent data inconsistencies in our regulatory filings.",high,
"My local development environment is completely broken after the latest Docker Desktop update, and I cannot spin up the mock KYC provider container. The container exits immediately with docker: Error response from daemon: failed to create endpoint: network bridge not found. I have already tried removing the orphaned networks and reinstalling Docker, but the issue persists. This is halting my ability to test the new document upload feature, which is scheduled for QA tomorrow. I need help troubleshooting the Docker daemon logs or getting a pre-configured Linux VM image that bypasses these Mac-specific networking issues.",medium,
"The Prometheus alerting rules for the trading engine are firing false positives constantly, triggering a massive alert storm in PagerDuty. I traced the issue to a recent change in the recording rules where the rate() function was incorrectly applied to a counter metric without resetting the time window. The resulting alertmanager logs show failed to notify: 503 Service Unavailable because our PagerDuty webhooks are rate-limited due to the volume. This alert fatigue risks masking actual critical incidents. I need the monitoring team to review my pull request (PR #7892) and help me adjust the for duration and aggregation intervals to match the new traffic patterns.",medium,
"Our AWS Secrets Manager integration with the Vault dynamic database credentials is failing, leaving the payment gateway unable to authenticate with the Oracle settlement database. The Lambda rotation function throws AccessDeniedException: User is not authorized to perform: secretsmanager:RotateSecret, which happened after the security team updated the IAM boundary policies. Without a valid database connection, we cannot process outbound wire transfers, directly impacting our corporate treasury operations. I need the cloud security team to grant the necessary rotation permissions to the service account and verify the KMS key policies so we can restore secure credential rotation.",high,
"We are encountering a persistent SSLHandshakeException in our Nginx upstream configuration when communicating with the new European banking partner's API. The error javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure indicates that our Java 8 runtime does not support the TLS 1.3 cipher suites they recently enforced. This is blocking all SEPA payment instructions, which accounts for 35% of our international transaction volume. I need the infrastructure team to upgrade the Java runtime on the gateway nodes to version 17 and update the Nginx proxy SSL protocols to ensure secure and compliant communication.",high,
"The Airflow DAG responsible for generating our daily risk exposure reports has been stuck in a queued state for over 12 hours. I noticed that the Celery workers are all reserved but not executing any tasks, likely due to a stale Redis broker connection that was not properly closed after a network blip. The celery worker logs are showing ConnectionResetError: [Errno 104] Connection reset by peer. If we do not generate this report by EOD, we will breach our internal risk management policies and face an automatic trading halt. Please help me restart the Celery workers and purge the stuck message queue in Redis.",high,
"Our internal artifact registry (Nexus) is returning 502 Bad Gateway for all requests, preventing developers from downloading critical dependencies during the CI build process. The error Failed to connect to upstream repository: Connection timed out suggests that the proxy cache is misconfigured and hitting an external rate limit. With the build pipeline completely blocked, our development velocity has dropped to zero, and we cannot deploy any bug fixes to production. I need the platform engineering team to verify the Nexus proxy routes, clear the corrupted cache, and implement a more robust retry mechanism to handle upstream throttling gracefully.",medium,
"I am investigating a critical data inconsistency in our MongoDB sharded cluster where the customer_profiles collection is showing duplicate primary keys. The balancer was manually disabled during the last maintenance window, but it seems some chunks were split incorrectly, causing data to be written to two different shards simultaneously. This duplication is corrupting our unified customer view and causing the recommendation engine to crash. We risk sending duplicate marketing offers and violating data privacy regulations. I need the database reliability engineers to run a full consistency check and help me manually re-sync the orphaned chunks.",high,
"The Grafana dashboards for our Kafka consumer lag are completely missing data after we migrated the monitoring stack to the new Thanos backend. The PromQL queries are returning empty results because the metric names were prefixed with kafka_ instead of prom_kafka_ in the new scrape configuration. This outage prevents the SRE team from accurately monitoring the settlement pipeline's health, which means we could be missing a severe consumer lag incident without realizing it. I need the observability team to update the Grafana JSON models to match the new Thanos recording rules and ensure accurate real-time alerting.",medium,
"We are experiencing severe latency spikes in our gRPC-based pricing service, with p99 response times jumping from 15ms to over 400ms. I profiled the service and found that the connection pool to the Redis cache is being exhausted because the idle_timeout is set too high, leaving thousands of stale connections open. The redis-py logs show ConnectionError: Too many connections. This latency is directly affecting our high-frequency trading algorithms, causing them to execute at stale prices and resulting in immediate financial losses. I urgently need to deploy the updated connection pool configuration and implement a circuit breaker to protect the Redis cluster.",high,
"Our GitHub Actions workflow for the compliance engine is failing at the integration test stage because the ephemeral test database is not being initialized correctly. The docker-compose logs show FATAL: database ""test_db"" does not exist, which indicates that the initialization script is running before the Postgres container is fully ready. This is blocking our ability to merge critical security patches, leaving our API endpoints vulnerable to SQL injection attacks. I need the DevOps team to help me add a proper wait-for-it script to the CI pipeline to ensure the database is healthy before running the test suite.",high,
"The internal VPN gateway is dropping connections every 15 minutes, severely impacting remote employees trying to access the production Kubernetes cluster. I checked the strongSwan logs and found peer did not respond to DPD request, which usually means the NAT traversal is failing due to the recent firewall policy update. With our engineering team fully remote, this connectivity loss is halting all deployment activities and preventing us from responding to customer incidents. I need the network security team to review the UDP port 4500 rules and adjust the DPD keepalive intervals to maintain stable VPN tunnels.",medium,
"I have discovered a severe memory leak in our Node.js transaction aggregator that is causing the container to consume 8GB of RAM within an hour of startup. The heapdump analysis reveals that the WebSocket event listeners are never being deregistered when clients disconnect, creating a massive retain cycle. If the service crashes during peak trading hours, we will lose real-time market data synchronization, directly impacting our institutional clients' ability to hedge their portfolios. I need the frontend infrastructure team to help me patch the connection handler and deploy a graceful restart mechanism to prevent unplanned outages.",high,
"Our CircleCI pipeline for the iOS mobile application has been stuck in a pending state for over four hours because all macOS runners are exhausted. The error No available runners matching the requested resource class indicates that we have hit our concurrency limit after onboarding three new development teams. This bottleneck is delaying our critical security patch (deployment version v5.3.0), leaving thousands of customers exposed to a known authentication bypass vulnerability. I urgently need the platform engineers to upgrade our CircleCI plan and optimize the runner allocation strategy to handle the increased workload without breaking our release schedule.",high,
"We are encountering a persistent ORA-00054: resource busy and acquire with NOWAIT specified or timeout expired error in the Oracle settlement database. I traced this back to a long-running analytical query from the data science team that is locking the primary ledger table during business hours. This lock contention is blocking all real-time payment processing, causing a massive queue of pending transactions that could trigger regulatory fines. Please help me identify the offending session ID, terminate it safely, and implement resource quotas to prevent analytical workloads from interfering with production OLTP operations.",high,
"I noticed that our Apache web servers are returning 503 Service Unavailable responses for the legacy banking portal whenever traffic exceeds 1,500 concurrent users. The error_log is flooded with server reached MaxRequestWorkers setting, consider raising the MaxRequestWorkers setting, indicating that we have hit the hard limit on worker processes. This degradation is frustrating our retail customers during payroll days, leading to a spike in support tickets and potential churn. I need the infrastructure team to increase the MaxRequestWorkers directive and tune the MPM event module to efficiently handle the daily traffic spikes.",medium,
"The Prometheus federation setup between our primary and disaster recovery data centers is completely broken after the recent network firewall update. The logs show context deadline exceeded when scraping remote metrics, which means our SRE team cannot monitor the health of our failover clusters. If a primary region outage occurs, we will be flying blind during the switchover, risking extended downtime for critical financial services. I need the network operations team to whitelist the Prometheus scrape IPs on port 9090 and verify the routing tables to restore cross-data-center observability.",high,
"We accidentally pushed a commit that exposed a hardcoded AWS IAM access key in the payment-orchestrator repository before the pre-commit hooks could strip it. The security scanner flagged this immediately in ticket INC-9021, but the damage is already done, and we must assume the key is compromised. If an attacker uses this key to access our production S3 buckets, we risk a massive data breach involving sensitive customer PII. I need the cloud security team to immediately rotate the compromised credentials, audit the CloudTrail logs for unauthorized access, and help me implement a mandatory secrets scanning gate in our GitLab CI pipeline.",high,
"I am investigating a critical routing loop in our Consul Connect service mesh that is causing 100% CPU utilization on the sidecar proxies for the risk-engine pods. The Envoy proxy logs indicate upstream connect error or disconnect/reset before headers because the health check endpoint is recursively calling itself through the mesh. This resource exhaustion is starving the main application of CPU cycles, leading to failed fraud scoring calculations. We need the service mesh architects to adjust the mesh exclusion rules and bypass the proxy for internal health checks to restore service stability.",high,
"Our internal Jenkins shared library is throwing a groovy.lang.MissingMethodException across 40 different microservice pipelines after last night's automated upgrade. It appears that the deprecated sshagent plugin was removed, and none of our Jenkinsfiles have been updated to use the new withCredentials syntax. This widespread failure is halting all deployments to our staging environments, preventing the QA team from executing regression tests for the upcoming compliance audit. I need the CI/CD platform owners to roll back the plugin update temporarily and provide a migration script so we can safely update our pipeline definitions.",medium,
"We are seeing a massive increase in HTTP 429 Too Many Requests errors from the external credit bureau API, which our underwriting service relies on for real-time loan approvals. The rate limiting was triggered because our retry logic does not implement exponential backoff, causing our workers to hammer their servers when a request fails. This bottleneck is stalling 80% of new loan applications, directly impacting our revenue and frustrating customers waiting for instant decisions. I urgently need the backend engineering team to refactor the API client to respect the Retry-After header and implement a circuit breaker pattern to protect downstream partners.",high,
"The Vault PKI secret engine is failing to issue new TLS certificates for our newly provisioned Kubernetes namespaces. The error certificate authority has expired indicates that our root CA was not automatically renewed by the automation script (commit a1b2c3d) that was supposed to run last month. Without valid certificates, our mTLS mutual authentication will fail, isolating new microservices from communicating with the core banking platform. I need the security engineers to manually reissue the root CA, update the trust stores across all clusters, and fix the broken renewal CronJob to prevent future outages.",high,
"I have identified a severe database connection pool exhaustion issue in our Django-based reporting API that is causing OperationalError: could not connect to server: Connection refused. The pool size was capped at 50 connections, but a recent marketing campaign drove traffic to 200 concurrent users who are all opening long-running report sessions. This outage is preventing our sales team from generating the quarterly revenue forecasts they need for the board meeting. Please help me increase the pool size in the DATABASES configuration and implement a read-replica routing strategy to offload analytical queries from the primary database.",medium,
"Our Nginx ingress controller is dropping all incoming WebSocket connections to the real-time market data feed due to an incorrect proxy_read_timeout configuration. The error upstream prematurely closed connection appears every time the idle timeout hits 60 seconds, disconnecting thousands of active traders. This instability is causing our premium subscribers to lose their live charting data, which directly violates our premium service SLA and is leading to refund requests. I need the networking team to increase the timeout to 15 minutes and enable TCP keepalives in the ingress configmap to maintain persistent connections during market hours.",high,
"We are experiencing a critical data loss risk in our Kafka Streams application for the trade reconciliation pipeline. The state store checkpoint files are being corrupted because the underlying EBS volume is running out of IOPS during peak message ingestion. The logs show java.nio.file.FileSystemException: Too many open files as the RocksDB compaction process struggles to keep up. If the state store becomes unrecoverable, we will lose track of 15,000 pending trades, creating a massive accounting discrepancy. I need the platform team to provision io2 volumes with higher IOPS and help me tune the Kafka Streams buffer sizes.",high,
"I noticed that our internal artifact registry is serving an outdated version of the fintech-common library to all CI builds because the cache invalidation policy was incorrectly set to 365 days. This means developers are unknowingly compiling against deprecated APIs, which is causing runtime crashes in production when they deploy their services. The recent NullPointerException in the ledger service is a direct result of this version mismatch documented in PR #5541. I need the DevOps engineers to purge the stale cache, update the Nexus repository settings to respect Maven metadata snapshots, and communicate the fix to all engineering teams.",medium,
"Our Airflow scheduler is repeatedly crashing with an OutOfMemoryError during the daily data warehouse ETL process. The scheduler is attempting to parse a 5GB DAG definition file because a developer accidentally committed a massive inline JSON payload into the Python script. This crash halts all downstream data synchronization, leaving our business intelligence dashboards populated with stale data from yesterday. If we cannot generate today's risk reports, we will breach regulatory compliance deadlines. Please help me split the DAG configuration into modular files and increase the scheduler's heap size to prevent future memory exhaustion.",high,
"The Prometheus operator is failing to apply the custom resource definitions for the new ServiceMonitor resources across our Kubernetes clusters. The error CRD ""servicemonitors.monitoring.coreos.com"" is invalid: metadata.annotations: Too long indicates that we exceeded the Kubernetes annotation character limit by embedding the entire OpenAPI spec directly in the manifest. This failure means we cannot scrape metrics from our newly deployed payment gateways, leaving us blind to their performance. I need the platform architects to refactor the CRD generation pipeline to strip unnecessary metadata and apply a strict schema validation step before deployment.",medium,
"I am investigating a severe authentication bypass vulnerability in our API gateway where JWT tokens with expired exp claims are still being accepted by the Nginx Lua authorization module. The logs show access granted for expired token because the clock synchronization between the gateway servers and the authentication provider drifted by 15 minutes. This flaw allows attackers to reuse compromised credentials indefinitely, posing a catastrophic security risk to our customer accounts. I urgently need the infrastructure team to synchronize all server clocks via NTP, implement strict token validation in the gateway, and audit the access logs for unauthorized usage.",high,
"We are encountering persistent DNS resolution failed errors in our CI/CD pipelines when trying to pull Docker images from our internal registry. The dig command returns SERVFAIL from the internal DNS servers, which suggests that the CoreDNS pods in the Kubernetes control plane are misconfigured after the recent cluster upgrade. This DNS outage is blocking all automated deployments, preventing us from patching critical security vulnerabilities in production. I need the network operations team to investigate the CoreDNS configuration, fix the upstream resolver addresses, and restore reliable internal name resolution for the engineering teams.",high,
"Our Grafana alerting system is triggering false-positive High CPU Usage alerts for the batch processing nodes because the metric aggregation window is too narrow. The avg_over_time function only looks at a 5-minute interval, which spikes whenever a single heavy job starts, causing unnecessary PagerDuty pages for the on-call engineers. This alert fatigue means real production incidents might be ignored during critical trading windows. I need the observability engineers to review my pull request (PR #8812) and adjust the alert evaluation window to 30 minutes to filter out short-lived job bursts and improve signal accuracy.",medium,
"The Terraform state file for our production AWS environment has become corrupted after a concurrent apply operation was manually triggered by two different engineers. The error state snapshot is locked is preventing any infrastructure changes, but the lock was never released when the failed process crashed. This stale lock is blocking our ability to scale the database cluster to handle the upcoming holiday traffic surge. I need the platform lead to force-unlock the state file using the terraform force-unlock command and implement a CI pipeline gate to prevent concurrent Terraform executions in the future.",medium,
"The primary PostgreSQL replica in the us-east-1 region has fallen 45 minutes behind the master node due to a network partition between the availability zones. This lag is causing our real-time fraud detection models to operate on stale data, which poses a severe risk of approving fraudulent transactions during the current market volatility. We need the network operations team to immediately investigate the peering link and restore full connectivity.",high,
"Our Kubernetes cluster autoscaler failed to provision additional nodes during yesterday's flash sale event because the AWS service quota for m5.2xlarge instances was exhausted. As a result, the checkout-api pods remained in a pending state, causing hundreds of customers to experience timeouts during peak transaction hours. Please submit an urgent quota increase request with AWS and temporarily switch the node group to a smaller instance type.",high,
"The Redis cluster managing user session tokens is experiencing severe memory fragmentation, with the eviction policy kicking in prematurely. This is forcing legitimate users to be logged out repeatedly across all our web and mobile applications. We need a Redis expert to review the maxmemory-policy configuration and potentially increase the allocated memory limits to stabilize the session store.",medium,
"I am unable to pull the latest base Docker images from our internal Harbor registry because the SSL certificate expired overnight. The CI/CD pipelines for all microservices are failing at the docker pull stage, completely halting our development velocity. The infrastructure team needs to renew the Let's Encrypt certificate for registry.internal.fintech.com as soon as possible.",high,
"The Terraform state file for the production VPC is locked after a pipeline crash, preventing any new infrastructure changes. The error log shows Error acquiring the state lock: ConditionalCheckFailedException. I need an admin to safely force-unlock the state using the provided lock ID so we can proceed with the scheduled security group updates.",medium,
Our Kafka consumer group for settlement events is lagging by over 2 million messages because the downstream compliance worker is stuck processing a malformed JSON payload. The error org.apache.kafka.common.errors.SerializationException: Invalid message format is flooding the worker logs. We need the data engineering team to skip the corrupted offset or patch the deserializer to prevent a backlog that delays end-of-day reporting.,high,
"The GitHub Actions runner pool for the mobile banking app is offline due to disk space exhaustion on the self-hosted EC2 instances. Builds are queuing indefinitely, blocking the release of a critical patch for the iOS authentication bug. Can someone run docker system prune -a and increase the EBS volume size on these runners?",medium,
"I need temporary elevated permissions to the staging Kubernetes namespace to debug a failing Helm release for the new risk engine. The kubectl get pods command shows a CrashLoopBackOff state, but my current IAM role lacks the logs permission to inspect the container output. This is urgent because the security audit requires the new deployment to pass by Friday.",low,
"The external payment gateway integration is returning HTTP 408 Request Timeout errors for transactions exceeding $50,000. Our current timeout threshold is set to 15 seconds, but the partner's legacy mainframe consistently takes 25 seconds to process high-value transfers. This is causing a significant drop in successful B2B settlements and impacting our enterprise client relationships. We need to increase the client-side timeout to 45 seconds immediately.",high,
The CircleCI workflow for the data-pipeline repository is failing during the Python dependency installation step. The logs indicate pip install: ERROR: Could not install packages due to an EnvironmentError: [Errno 13] Permission denied: '/usr/local/lib/python3.9/site-packages'. It seems the build container is running as a non-root user that lacks write access. We need to update the Dockerfile or adjust the CI configuration to use a virtual environment.,medium,
The Vault dynamic secret generation for the Oracle settlement database is failing with ORA-01920: user name conflicts with another user or role name. The role naming convention seems to have collided after a recent schema migration. We need to review the Vault role template and ensure it generates unique usernames to prevent database authentication failures across the finance microservices.,high,
"I noticed that the Nginx ingress controller is not stripping the X-Forwarded-For headers correctly, causing our WAF to block legitimate internal API calls. The WAF logs show Blocked by IP Reputation: 10.0.0.0/8 because it's seeing the load balancer IP instead of the client IP. We need to update the ingress annotation to properly trust the proxy headers.",medium,
The Apache Spark job for daily regulatory reporting crashed with an OutOfMemoryError: Java heap space during the aggregation phase. The job is processing a 4x larger dataset than expected due to a recent merger acquisition. We need to increase the executor memory limits in the Airflow configuration and consider partitioning the dataset to prevent cluster instability.,high,
"My local Minikube environment refuses to start the Elasticsearch container because the vm.max_map_count sysctl parameter is too low on my Ubuntu 24.04 workstation. I've tried running sudo sysctl -w vm.max_map_count=262144, but the setting resets after reboot. Can we add this to the /etc/sysctl.conf file permanently for all developer machines?",low,
"The Grafana dashboards for API latency are showing blank panels because the Prometheus federation rule is misconfigured after the cluster migration. The query rate(http_request_duration_seconds_sum[5m]) returns no data points, even though the metrics endpoints are healthy. We need to correct the federation labels and ensure the Thanos sidecar is scraping the correct targets.",medium,
"Production incident: The order matching engine is dropping limit orders during high volatility because the Rust-based matching loop is encountering a panic at index out of bounds. This started immediately after deploying commit f3a9b2c, which optimized the order book traversal. We are losing revenue on every dropped order and risk regulatory penalties for unfair execution. Please rollback to version v4.5.1 immediately.",high,
The Ansible playbook for provisioning new bastion hosts is failing at the Install Datadog Agent task due to an outdated GPG key in the Debian repository. The error NO_PUBKEY 1A4D2439 is preventing the package manager from verifying the signature. We need to update the playbook to fetch the latest key and re-run the provisioning for the pending onboarding tickets.,medium,
The Consul service mesh is failing to register new instances of the pricing service because the health check endpoint is returning a 503 status code during the 30-second JVM warmup period. The instances are immediately deregistered as unhealthy before they can process requests. We need to configure a check grace period in the service definition or implement a readiness probe that waits for the cache to initialize.,high,
"I need help configuring the local Docker Compose environment to use a persistent volume for the MongoDB container. Currently, the test data is wiped every time I restart the stack, which makes it extremely difficult to debug the complex aggregation pipelines for the analytics team.",low,
The AWS Lambda function for the fraud scoring API is timing out after 15 seconds because the ML model inference step is synchronously calling a third-party credit bureau API. We need to implement an asynchronous processing pattern using SQS to decouple the scoring from the external lookup and reduce the API latency for real-time transactions.,medium,
"The Elasticsearch cluster health is red because the primary shard for the audit-logs-2026.05 index is unassigned. Two nodes in the same rack failed simultaneously, resulting in data loss for the compliance audit trail. This is a critical data loss event that violates our retention policies. We need to restore from the nightly snapshot before the next regulatory filing.",high,
The internal GitLab runner for the compliance-service repository is failing to checkout the main branch due to a corrupted .git directory on the host machine. The error fatal: reference is not a tree: abc123def indicates a local repository inconsistency. We need to wipe the runner workspace and clone a fresh copy to restore the CI pipeline.,medium,
Our FastAPI gateway is returning 502 Bad Gateway errors for the /api/v2/kyc/upload endpoint because the upstream document processing service is crashing when handling HEIC image formats from the new iPhone models. We need to update the pyheif library in the container image and add explicit format validation to prevent these unhandled exceptions.,high,
"The PostgreSQL vacuum process on the ledger_transactions table is causing severe replication lag on the standby nodes. The autovacuum is running during peak trading hours, consuming excessive I/O. We need to reschedule the vacuum window to 02:00 UTC and tune the autovacuum_vacuum_cost_delay to minimize the impact on production workloads.",medium,
I'm getting Connection Refused when trying to access the staging Kafka cluster from my local development machine. The security group rules seem to be blocking port 9092 for external IPs. Can someone add my office IP 203.0.113.45 to the whitelist so I can debug the consumer lag issues locally?,low,
The PagerDuty escalation policy for the payment processing alerts is routing incidents to the deprecated SRE rotation. This happened after the recent organizational restructuring in our identity provider. We are missing critical alerts for production outages because the notifications are going to inactive Slack channels.,high,
The Helm chart for the core trading platform is failing validation because the imagePullSecrets field is using a singular key instead of a list. The helm install command returns Error: template: values.yaml: map has no entry for key 'imagePullSecret'. We need to fix the chart template to use the correct plural syntax and redeploy the staging environment.,medium,
"The Redis Sentinel cluster lost quorum after a network switch reboot in the primary data center. The application is throwing ReadOnlyError exceptions because it cannot determine the new master node. All write operations to the session store are failing, causing users to be logged out across the entire platform. We need to manually failover to the surviving node.",high,
"The dbt incremental model for the daily portfolio valuation is failing with a unique key violation error. It appears that a manual data correction introduced duplicate records into the source table, causing the merge step to conflict. We need to deduplicate the source data and rerun the transformation before the morning reporting deadline.",medium,
I cannot access the production AWS console via SSO because my MFA device was reset during the laptop migration. The self-service portal is throwing a UserNotConfirmed error. I need an admin to manually reset my MFA enrollment so I can manage the production EC2 instances for the weekend maintenance window.,low,
"The Istio sidecar proxy for the ledger service is injecting incorrect HTTP headers into outbound requests, causing the downstream compliance API to reject the payloads with Invalid Signature errors. This is breaking the automated audit trail generation. We need to review the Envoy filter configuration and disable the header rewriting rule that was introduced in the last mesh update.",high,
The GitHub Actions workflow for deploying the React admin dashboard is failing because the npm ci step cannot verify the integrity of the lodash package. The lockfile hash mismatch suggests a supply chain tampering attempt. We need to investigate the package provenance and regenerate the lockfile from a clean source before proceeding with the deployment.,high,
"The TimescaleDB hypertable for market data is experiencing severe bloat, causing the continuous aggregate refresh job to take over 6 hours. The job is blocking regular analytical queries, delaying the trading desk's morning reports. We need to run VACUUM FULL on the hypertable during the weekend maintenance window to reclaim disk space and improve query performance.",medium,
"Our internal NPM registry proxy is caching 404 Not Found responses for new package versions, preventing developers from installing updated dependencies. The verdaccio configuration has an aggressive cache TTL that needs to be reduced to 5 minutes. This is causing build failures across all frontend services.",medium,
"The ClickHouse materialized view for real-time P&L calculations is not updating because the Kafka engine table is consuming from the wrong partition. The view is lagging by 12 hours, leading to incorrect risk exposure calculations. We need to reset the consumer offset to the latest position and verify the partition assignment logic in the ingestion pipeline.",high,
"I need assistance configuring the kubectl context to point to the new EU West cluster. The ~/.kube/config file is missing the cluster certificate authority data, and kubectl get nodes returns a TLS handshake failed error. I have the certificate file locally, but I'm unsure how to merge it correctly into the config.",low,
The Azure Service Bus dead-letter queue is filling up rapidly due to MaxDeliveryCount exceeded errors. The message payloads contain nested JSON objects that exceed the schema validation rules. We need to implement a dead-letter handler to route these messages to a separate blob storage for manual review instead of letting them accumulate.,medium,
The Prometheus alert for HighErrorRate on the trading API is firing continuously despite normal metrics. The alert query uses avg(last_5m) but a recent spike of 80% for 30 seconds triggered a cascade of false positives. We need to change the evaluation window to 15 minutes and add a for duration of 5 minutes to stabilize the alerting.,low,
The CockroachDB cluster is experiencing high read-amplification because the secondary indexes on the customer_profiles table are fragmented. Queries that used to take 10ms are now taking 200ms due to excessive disk seeks. We need to run REINDEX TABLE to rebuild the indexes and restore the expected query performance for the mobile app.,medium,
"The CircleCI pipeline for the iOS banking app is failing with Code Sign Error: No matching provisioning profile found. The Apple Developer certificate expired this morning, and the CI runner doesn't have the new credentials configured. We cannot release the critical security patch for the biometric authentication flaw until this is resolved.",high,
"Our MongoDB Atlas cluster is hitting the maximum number of open connections limit during peak load. The connection pool in the Node.js backend is leaking sockets, and netstat shows thousands of TIME_WAIT states. We need to investigate the maxPoolSize configuration and ensure the application properly closes connections after each request.",medium,
I am requesting read access to the production fraud-events Kafka topic to investigate a discrepancy in the daily risk report. My current service account is restricted to the staging environment. I need this access for 24 hours to replay the messages and identify the missing data points.,low,
"The AWS KMS key rotation for the settlement database encryption failed because the IAM role lacks the kms:GenerateDataKey permission. The database is now unable to decrypt new records, causing write failures. We need to attach the missing policy to the RDS instance role and trigger a manual key update to restore functionality.",high,
The internal documentation site for the API schema is returning a 500 Internal Server Error. The Swagger UI generation process is failing due to a circular reference in the OpenAPI specification. We need to refactor the PaymentRequest model to break the circular dependency and regenerate the documentation.,medium,
"The Nginx reverse proxy for the compliance API is dropping large POST requests with a 413 Request Entity Too Large error. The client_max_body_size is set to 10MB, but the new document upload feature requires 25MB. We need to increase the limit in the Nginx configuration and reload the service to support the larger files.",medium,
Our Terraform apply for the new VPC peering connection failed because the route table CIDR blocks overlap with an existing on-premises network. The error InvalidParameterValue: CIDR conflict prevents the peering from being established. We need to redesign the subnet allocation or request a NAT gateway update to resolve the routing conflict.,high,
The Python Celery worker for the daily interest calculation is stuck in a deadloop because of an unhandled ZeroDivisionError when the account balance is zero. The task is consuming 100% CPU and preventing other queued tasks from executing. We need to add a conditional check for zero balances and restart the worker pool.,medium,
I need help troubleshooting a slow query in the market_data table. The query plan shows a full table scan even though an index exists on the timestamp column. It seems the index is marked as INVALID after a failed migration. We need to rebuild the index to restore fast historical data retrieval.,low,
The GitHub Actions runner for the data science repository is failing to install the tensorflow package because it requires a GPU driver that isn't present on the Ubuntu runner image. We need to either use a specialized GPU runner or switch to a CPU-only version of TensorFlow for the training pipeline.,medium,
"The HashiCorp Vault PKI intermediate certificate is expiring in 72 hours. The automated renewal process failed last week because the service account token expired. Manual intervention is required to generate a new intermediate certificate and update all the internal services using mTLS, otherwise the microservices will lose secure communication.",high,
The Apache Kafka cluster is reporting under-replicated partitions for the transaction-log topic. The ISR (In-Sync Replicas) list has dropped to one replica due to high network latency between the brokers. This poses a risk of data loss if the leader fails. We need to investigate the network path and possibly adjust the replica.lag.time.max.ms setting.,high,
The React Native app is crashing on Android 14 devices when trying to access the camera for the KYC verification flow. The log shows a SecurityException related to the new READ_MEDIA_VISUAL_USER_SELECTED permission. We need to update the Android manifest to request the new permission and release a hotfix immediately.,high,
I am experiencing high latency when connecting to the corporate VPN from the London office. The connection drops every 10 minutes with a DPD timeout error. This is preventing the support team from accessing the internal monitoring tools during their shift.,medium,
The Grafana Loki log ingestion pipeline is dropping chunks because the distributor component is hitting the ingestion rate limit. The rate_limiter configuration is set too low for the increased log volume from the new microservice. We need to increase the ingestion_rate_mb to prevent data loss during peak hours.,medium,
